Soft Majority Vote Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"(0.425, 0.575) & 0.475",0.9273525837937686,0.9237646234540922,0.9300483091787439,0.06995169082125603,0.9189585064653677,0.08104149353463234,0.9653830621056899,0.9554076853282327,0.986132365118608,0.9548317793386927,0.9066076268886633,0.12325947886274558,0.028591888314571302,0.9807670614777214,0.01923293852227863,0.9838620449858505,0.01613795501414945,0.9712372664103082,0.9712615511609132,0.9716373616297014,0.9712372664103082,0.9530173014897205,0.9514102757256092,0.9554076853282327
"(0.4, 0.6) & 0.4625",0.9273525837937686,0.9237646234540922,0.9300483091787439,0.06995169082125603,0.9189585064653677,0.08104149353463234,0.9653542100809709,0.9554076853282327,0.9862225283809922,0.9548317793386927,0.9066076268886633,0.12053891569159556,0.027783949940273923,0.9807670614777214,0.01923293852227863,0.9838620449858505,0.01613795501414945,0.9712372664103082,0.9712615511609132,0.9716373616297014,0.9712372664103082,0.9530173014897205,0.9514102757256092,0.9554076853282327
"(0.4375, 0.5625) & 0.4875",0.9273525837937686,0.9237646234540922,0.9300483091787439,0.06995169082125603,0.9189585064653677,0.08104149353463234,0.965328797477836,0.9554076853282327,0.9861317656815339,0.9548317793386927,0.9066076268886633,0.12465370479022453,0.029017628489757197,0.9807670614777214,0.01923293852227863,0.9838620449858505,0.01613795501414945,0.9712372664103082,0.9712615511609132,0.9716373616297014,0.9712372664103082,0.9530173014897205,0.9514102757256092,0.9554076853282327
"(0.55, 0.45) & 0.4875",0.9273131211353576,0.9112362447766174,0.938743961352657,0.06125603864734299,0.8869407458825014,0.11305925411749858,0.9642147485336098,0.9552023657452924,0.9858879335050894,0.9549072769049035,0.8910892509482332,0.13830476467978697,0.033502419707546326,0.9716607701379274,0.02833922986207249,0.9857065083019851,0.014293491698015016,0.9654894420832489,0.9659090547703955,0.9671153510230713,0.9654894420832489,0.94490441384146,0.9363236270922431,0.9552023657452924
"(0.5625, 0.4375) & 0.5",0.9273131211353576,0.9112362447766174,0.938743961352657,0.06125603864734299,0.8869407458825014,0.11305925411749858,0.9640445951727588,0.9552023657452924,0.9858430401268627,0.9549072769049035,0.8910892509482332,0.13995575869933619,0.03407329980298024,0.9716607701379274,0.02833922986207249,0.9857065083019851,0.014293491698015016,0.9654894420832489,0.9659090547703955,0.9671153510230713,0.9654894420832489,0.94490441384146,0.9363236270922431,0.9552023657452924
"(0.4375, 0.5625) & 0.3875",0.9271500461611861,0.8985452243900804,0.9475362318840579,0.05246376811594202,0.8554366909686058,0.14456330903139414,0.965328797477836,0.9550504827573907,0.9861317656815339,0.954881967412782,0.875777021998178,0.12465370479022453,0.029017628489757197,0.9625647336307235,0.03743526636927652,0.9876114540745794,0.012388545925420536,0.9597416177561897,0.9605288573012206,0.9627563250800872,0.9597416177561897,0.9367139832871775,0.9215240725215927,0.9550504827573907
"(0.525, 0.475) & 0.4375",0.9271140054784409,0.8985679788692872,0.9474396135265701,0.052560386473429935,0.8554973545790487,0.14450264542095131,0.9648302295283315,0.9549996098704993,0.9860217491623363,0.9548327063082972,0.875768104566103,0.13508855740108802,0.03240420149275291,0.9625596062144286,0.03744039378557142,0.9876111811121209,0.012388818887879039,0.9597449908925318,0.9605305069836048,0.9627397271188757,0.9597449908925318,0.9367252779822224,0.9215542678455849,0.9549996098704993
"(0.5375, 0.4625) & 0.4375",0.9271140054784409,0.8985679788692872,0.9474396135265701,0.052560386473429935,0.8554973545790487,0.14450264542095131,0.964593277998253,0.9549996098704993,0.985977343755612,0.9548327063082972,0.875768104566103,0.13668265824080236,0.032946053604137215,0.9625596062144286,0.03744039378557142,0.9876111811121209,0.012388818887879039,0.9597449908925318,0.9605305069836048,0.9627397271188757,0.9597449908925318,0.9367252779822224,0.9215542678455849,0.9549996098704993
"(0.55, 0.45) & 0.45",0.9271140054784409,0.8985679788692872,0.9474396135265701,0.052560386473429935,0.8554973545790487,0.14450264542095131,0.9642147485336098,0.9549996098704993,0.9858879335050894,0.9548327063082972,0.875768104566103,0.13830476467978697,0.033502419707546326,0.9625596062144286,0.03744039378557142,0.9876111811121209,0.012388818887879039,0.9597449908925318,0.9605305069836048,0.9627397271188757,0.9597449908925318,0.9367252779822224,0.9215542678455849,0.9549996098704993
"(0.5625, 0.4375) & 0.4625",0.9271140054784409,0.8985679788692872,0.9474396135265701,0.052560386473429935,0.8554973545790487,0.14450264542095131,0.9640445951727588,0.9549996098704993,0.9858430401268627,0.9548327063082972,0.875768104566103,0.13995575869933619,0.03407329980298024,0.9625596062144286,0.03744039378557142,0.9876111811121209,0.012388818887879039,0.9597449908925318,0.9605305069836048,0.9627397271188757,0.9597449908925318,0.9367252779822224,0.9215542678455849,0.9549996098704993
